Navegadores,Classe,LOC (Média por pacote),LOC(rec)(Média por pacote),LOCp (Média por pacote),LOCp(rec) (Média por pacote),LOCt (Média por pacote),LOCt(rec) (Média por pacote),L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt,CBO - Média,DIT – Média,LCOM – Média,NOC – Média,RFC – Média,WMC – Média,AHF (%),AIF (%),CF (%),MHF (%),MIF (%),PF (%)
Brave,Segurança,"2183,97919293821","5964,3203410475","2182,08007566204","5957,96041412911","1,89911727616646","6,35992691839221",0,234131,789353,0,47184,5134012,3523936,3012,1647487,914489,2574,"8,19057510061015","1,22380890562119","1,88822536674023","0,298974425548488","17,5727638582371","12,1679864987667","82,83","57,11","0,28","47,8","41,13","22,91"
Chromium,Tradicional,3222,"59576,5",3222,"45049,5",0,14527,676,20372,931392,0,32432,1672676,915900,32178,861635,697358,27388,"8,38159080666967","1,23422712933754","1,9282334384858","0,296417305092384","17,7182289319513","12,2585624155025","83,26","55,06","0,25","47,4","40,93","23,33"
Cliqz,Privacidade,"615,479452054795","1989,87671232877","595,520547945206","1909,90410958904","19,958904109589","79,972602739726",1271,442,32752,625,11837,581519,43602,1550,62378,40319,1314,"6,09393346379648","1,55968688845401","1,19960861056751","0,146771037181996","15,9138943248532","8,6986301369863","83,26","55,06","0,25","47,4","40,93","23,33"
Firefox Focus,Privacidade,"457,943396226415","927,899371069182","421,163522012579","780,817610062893","36,7798742138365","147,081761006289",576,2437,9233,14896,30069,101627,66965,8190,92520,64202,7569,"4,38383838383838","1,47474747474747","1,65656565656566","0,252525252525252","24,4242424242424","10,0909090909091","64,4","75,49","11,76","41,32","10,91","103,32"
FLOSS Browser,Tradicional,"525,4375","1322,40625","525,4375","1322,40625",0,0,33,0,8501,0,8428,66428,66052,0,16868,16712,0,"7,26923076923077","2,74358974358974","2,03846153846154","0,025641025641026","26,0897435897436","14,8717948717949","91,53","87,93","18,32","36,92","0,62","935,9"
Iridium Browser,Segurança,"1640,25139664804","7705,71880819367","1580,5530726257","7519,62197392924","59,6983240223464","186,096834264432",476,20363,872641,0,27854,1603918,856859,32058,811398,651373,27277,"9,85639075753144","1,51673578199052","2,34074290728283","0,369964454976303","18,0948402948403","15,160427025446","83,48","56,73","0,27","47,91","39,74","25,68"
JumpGo Browser,Tradicional,"386,086956521739","1388,84057971015","384,086956521739","1380,84057971015",2,8,162,0,18683,1171,7265,96136,26502,138,24113,23250,123,"7,44354838709677","2,17741935483871","2,12096774193548","0,419354838709677","31,7096774193548","22,8064516129032","92,04","72,76","15,13","47,29","18,2","178,33"
Keepass2Android,Privacidade,"1023,58139534884","3707,1511627907","1023,58139534884","3707,1511627907",0,0,0,0,87625,0,30541,136294,88028,0,96248,65506,0,"5,91689750692521","1,74653739612188","1,51108033240997","0,329639889196676","18,601108033241","15,8767313019391","77,04","62,16","1,45","40,86","34,03","46,81"
Kiwi Browser,Tradicional,"1675,94605809129","7745,18464730291","1600,81742738589","7501,49170124481","75,1286307053942","243,692946058091",385,32316,798957,0,24936,1486714,780277,36212,753209,589060,30166,"9,38715921922891","1,52535932595407","2,37054363607033","0,366925491491822","18,5465407057516","15,4173253750605","84,69","57,88","0,3","48,23","38,28","27,95"
Kiwi Browser - Fast & Quiet,Segurança,"1680,21413721414","7764,42203742204","1604,92931392931","7520,22245322245","75,2848232848233","244,199584199584",385,32316,799334,0,24936,1487092,780654,36212,753525,589375,30166,"9,38042251249799","1,5251857968621","2,36929527495565","0,366804293971924","18,5422857936398","15,4189646831156","84,7","57,89","0,3","48,23","38,28","28,01"
Lightning Browser,Tradicional,"299,352941176471","1066,03529411765","289,717647058823","1022,87058823529","9,63529411764706","43,1647058823529",198,287,6329,12296,6985,72909,24626,819,22772,21226,741,"4,22222222222222","1,25","3,08333333333333","0,305555555555556","33,1666666666667","27,3055555555556","97,94",40,"37,33","52,22","1,46",100
Lucid Browser,Tradicional,"602,466666666667","1431,25","602,466666666667","1431,25",0,0,44,879,7942,0,9326,18618,18074,0,17176,17028,0,"7,46153846153846","3,19230769230769","1,73076923076923","0,076923076923077","30,5555555555556","23,1923076923077","56,49","87,44","38,44","25,83","12,25","416,67"
Lynket Browser,Privacidade,"276,369565217391","1022,57971014493","272,072463768116","1003,76086956522","4,29710144927536","18,8188405797101",269,92,16607,10042,11611,40009,37546,593,29823,28408,372,"4,92857142857143","1,8956043956044","1,62637362637363","0,21978021978022","20,1813186813187","10,978021978022","69,7","87,28","6,27","42,75","8,47","130,08"
Midori-Web-Browser,Tradicional,"84,1428571428571","167,571428571429","84,1428571428571","167,571428571429",0,0,53,0,0,292,684,1443,589,0,1047,582,0,0,0,0,0,0,0,100,100,100,100,100,100
Opera com VPN gratuita,Privacidade,"401,25","2084,5","401,25","2084,5",0,0,31,0,3192,0,40,3534,3210,0,2020,1975,0,"3,81818181818182","2,72727272727273","1,90909090909091","0,590909090909091","15,2272727272727","13,3181818181818","58,03","60,59","27,89","15,54","41,79","26,49"
Orfox Browser,Segurança,"56,6666666666667","68,25","50,8333333333333",55125,"5,83333333333333",13125,48,0,103,0,366,4633,305,35,538,305,24,"0,666666666666667","3,33333333333333","1,33333333333333",0,8,"3,33333333333333",30,"92,19","66,67","14,29",0,100
Pale Moon,Tradicional,"1349,64505119454","3635,75767918089","1349,64505119454","3635,75767918089",0,0,333,1526672,321126,0,261111,15144234,461268,0,5603803,255986,0,"6,12252193695158","1,12609684757881","1,51348716282093","0,356841078973026","13,4228144296393","12,7510562235944","67,47","17,5","0,49","43,73","23,5","10,88"
PrivacyBrowser,Privacidade,"6466,29411764706","8608,73529411765","6466,29411764706","8608,73529411765",0,0,109,27172,24281,0,13445,222181,219854,0,52913,52622,0,"6,61627906976744","2,66279069767442","1,48837209302326",0,"35,2674418604651","28,3720930232558","68,59","90,98","23,64","30,4",0,"1214,81"
Smart Browser,Segurança,"525,4375","1322,40625","525,4375","1322,40625",0,0,52,0,8501,0,8428,67350,66052,0,16915,16712,0,"7,26923076923077","2,74358974358974","2,03846153846154","0,025641025641026","26,0897435897436","14,8717948717949","91,53","87,93","18,32","36,92","0,62","935,9"
Tor-Browser,Privacidade,"18882,6363636364","19024,4545454545","18879,4545454545","19011,7272727273","3,18181818181818","12,7272727272727",98,0,520,0,273,212146,207674,35,842,666,24,1125,1625,1375,0,14375,"6,5","10,79",72,25,"41,67",0,100
UFO Web Browser,Segurança,"299,352941176471","1066,03529411765","289,717647058823","1022,87058823529","9,63529411764706","43,1647058823529",198,287,6329,12296,6985,72909,24626,819,22772,21226,741,"4,34285714285714","1,32352941176471","3,17142857142857","0,323529411764706","33,1666666666667","28,0857142857143","97,94",40,"37,33","52,22","1,46",100
Yuzu Browser,Privacidade,"329,688356164384","1355,52397260274","322,75","1318,04109589041","6,93835616438356","37,4828767123288",1226,1360,17961,50362,22545,100296,94414,2026,81913,77971,1225,"3,81147540983607","2,03688524590164","1,75409836065574","0,180327868852459","17,9262295081967","11,3852459016393","62,84","82,18","3,48","25,86","10,4","83,77"
Zirco,Tradicional,748,1874,748,1874,0,0,33,34,12459,0,4173,17584,17204,0,13381,13279,0,"5,72222222222222","2,26470588235294","1,84259259259259","0,058823529411765","23,2053571428571","14,9259259259259","79,74","64,19","10,93","50,64","2,09",606
Fennec F-Droid,Segurança,"671,699115044248","2216,8487394958","569,973451327434","1863,65546218487","101,725663716814","353,193277310924",233,132,38844,0,37271,83818,64407,11495,72211,58539,10750,"9,83617747440273","2,46206896551724","1,79180887372014","0,248275862068965","24,8427299703264","17,037542662116","62,25","79,69","6,53","48,48","19,14","74,94"
Waterfox,Privacidade,"1542,61832061069","7741,89198606272","1542,20610687023","7739,59233449477","0,412213740458015","2,29965156794425",1002,14603,403365,0,28655,514946,404058,108,369744,293254,95,"9,38470451911935","1,63097398669087","1,73406720741599","0,369026013309135","14,8529918739227","13,9339513325608","74,26","30,23","0,45","44,12","38,15","29,93"
IceCatMobile,Privacidade,"1533,10358565737","7781,92363636364","1426,8764940239","7200,17090909091","106,227091633466","581,752727272727",782,15907,382503,1500,26060,491065,358146,26663,352265,253635,24145,"9,32773631840796","1,64285714285714","1,73818407960199","0,364253393665158","14,5785846806255","13,9888059701493","74,03","29,79","0,47","43,52","39,78","27,67"
Firefox,Tradicional,"1694,57751937985","8446,77142857143","1589,95736434109","7870,50357142857","104,62015503876","576,267857142857",1222,17040,427060,9023,28881,562817,410209,26992,407885,294417,24513,"9,54184158970053","1,59894613583138","1,75426812202631","0,339285714285714","15,1839755639098","14,5465994962217","73,49","28,48","0,46","44,47","36,91","27,47"
Firefox Nightly,Segurança,"555,666666666667","1619,37037037037","147,75","652,814814814815",407875,"966,518518518519",417,128,0,4338,609,17422,3546,9789,14314,3068,9546,0,0,0,0,0,0,100,100,100,100,100,100
Ducky Browser,Segurança,"484,831168831169","1694,09036144578","376,077922077922","1100,49397590361","108,753246753247","593,596385542169",214,0,0,31939,10374,76184,57916,16748,64892,49787,14644,0,0,0,0,0,0,100,100,100,100,100,100
Ungoogled Chromium,Segurança,"1648,34446764092","8925,01919385797","1642,03340292276","8899,08829174664","6,31106471816284","25,9309021113244",25,20372,786321,0,29002,932827,786534,3023,664711,611749,2585,"9,84581908610507","1,45001562011871","2,23360273546783","0,354264292408622","17,0341085271318","14,3714640969848",83,"35,76","0,27","47,97","41,17","21,42"
